HotelName,City,Country,Star Rating,HotelPrice,Amenities,Hotel Description
Park Palace Hotel,kolkata,India,3.9,1163,['Air Conditioning'],['Deluxe Room']
Pipal Tree Hotel,kolkata,India,4.3,2373,['Banquet hall'],['Standard Room']
Hotel Sawood International,kolkata,India,3.8,1331,['Business Services'],['AC Standard']
Holiday Inn Kolkata Airport,kolkata,India,4.5,2700,['CCTV surveillance'],['1 KING DELUXE SMOKING']
The Park Kolkata,kolkata,India,4,3917,['Clean Room'],['Staycation @ The Park Kolkata with Breakfast']
Regenta Inn Larica,kolkata,India,3.9,2513,['Clean linen'],['Executive Room with Breakfast']
Georgian Inn,kolkata,India,3.6,750,['Conference Room'],['BUDGET DOUBLE ACCOMODATION NON AC']
The Altair,kolkata,India,4.2,3604,['Doctor On Call'],['Business Room- Lake View']
"Howard Johnson by Wyndham, Kolkata Airport",kolkata,India,4.4,2371,['Air Conditioning'],"['Deluxe Room, Queen Bed, Non-Smoking with Breakfast']"
Sterling Guest House,kolkata,India,4,1806,['Business Services'],['Standard AC Room']
The Park Bangalore,bangalore,India,4.2,2669,['Air Conditioning'],['Deluxe Room ']
Golden Lotus,bangalore,India,4,3905,['Business Services'],['Standard Room']
The Chancery,bangalore,India,4.1,2545,['CCTV surveillance'],['Deluxe Room']
The Windflower Resorts & Spa,bangalore,India,4.1,3492,['Conference Room'],['Studio Room with Breakfast']
Ramada Encore,bangalore,India,4.5,2611,['Daily housekeeping'],['Deluxe Twin']
Lemon Tree Hotel Whitefield,bangalore,India,4.3,1889,['Free Internet'],['Business Room']
Ginger Bangalore (Whitefield),bangalore,India,3.9,1333,['Health-Spa'],['Standard Double']
Radisson Blu Atria Bengaluru,bangalore,India,4.5,3850,['Laundry Service'],['Superior Double or Twin Room with Breakfast']
Hotel Swagath,bangalore,India,4.5,1733,['Air Conditioning'],['Standard Non AC Room']
Octave Plaza Hotel,bangalore,India,4.2,1125,['CCTV surveillance'],['Super Deluxe Room']
Ginger Indore,indore,India,3.9,1396,['Business Services'],['Standard Room with Breakfast']
Indore Marriott Hotel,indore,India,4.5,4581,['CCTV surveillance'],"['Standard Twin, Guest room, 2 Twin/Single Bed(s) with Free Breakfast']"
Pride Hotel & Convention Centre Indore,indore,India,4.3,1940,['Conference Room'],['Deluxe Room']
Hotel Park,indore,India,3.9,883,['Daily housekeeping'],['Non AC Room']
Sayaji Hotels,indore,India,4.6,3344,['Doctor On Call'],['Grande Room with Breakfast']
Fairfield By Marriott,indore,India,4.4,2244,['Free Internet'],"['Superior Room, Guest room, Queen or 2 Twin/Single Bed(s) with Free Breakfast']"
SureStay Plus by Best Western,indore,India,4.4,2352,['Health-Spa'],['Superior Room with Breakfast']
Hotel Effotel Indore,indore,India,4.6,2499,['Internet'],['Deluxe Room with Breakfast']
OYO 2760 Hotel Chanakya,indore,India,4,1042,['Banquet hall'],['Classic (2X)']
Crescent Spa & Resort,indore,India,4.4,3917,['Business Services'],['Club Room']
Hotel Nikko Saigon Ho Chi Minh City,ho-chi-minh-city,Vietnam,4.5,6409,['Air Conditioning'],['Oktoberfest Package - Deluxe Room']
Harmony Saigon Hotel & Spa,ho-chi-minh-city,Vietnam,4.5,2554,['Banquet hall'],['Deluxe Room with Free Breakfast']
Alagon Saigon Hotel & Spa,ho-chi-minh-city,Vietnam,4.5,1818,['Business Services'],['Superior Room No Window']
Le Meridien Saigon,ho-chi-minh-city,Vietnam,4.5,9699,['Conference Room'],"['Premier Room, 1 King Bed, Non Smoking, City View (Classic)']"
Alagon D'antique Hotel & Spa,ho-chi-minh-city,Vietnam,4.5,2595,['Free Internet'],['Deluxe Double Room without Window - Free Minibar Included with Breakfast']
Alagon City Hotel & Spa,ho-chi-minh-city,Vietnam,4,1711,['Health-Spa'],['Deluxe Twin Room - Rooftop Sauna and Jacuzzi Access Included']
Meraki Hotel,ho-chi-minh-city,Vietnam,4,572,['Laundry Service'],['Double Bed Room']
Maison De Camille Boutique Hotel,ho-chi-minh-city,Vietnam,4.5,2346,['Outdoor Activities'],['The Artist Studio']
Sofitel Saigon Plaza,ho-chi-minh-city,Vietnam,4.5,5722,['Air Conditioning'],"['Superior Room, 2 Twin Beds, City View']"
Pullman Saigon Centre,ho-chi-minh-city,Vietnam,4.5,4956,['Banquet hall'],['Deluxe Hot Deal King Bed']
Oriental Suite Hotel & Spa,hanoi,Vietnam,5,2135,['Air Conditioning'],['Deluxe Twin Room']
Bonsella Prestige Hotel and Spa,hanoi,Vietnam,5,2462,['CCTV surveillance'],"['Deluxe Room, 1 King Bed']"
La Siesta Hotel and Spa Hanoi,hanoi,Vietnam,5,2341,['Free Internet'],"['Superior Room, No Windows']"
Sofitel Legend Metropole Hanoi,hanoi,Vietnam,5,8011,['Health-Spa'],['Opera Wing - Premium Double Room']
Lavender Central Hotel & Spa,hanoi,Vietnam,5,2103,['Restaurant/Coffee Shop'],"['Superior Double Room, 1 Queen Bed with Free Breakfast']"
Hanoi Culture Hostel,hanoi,Vietnam,5,613,['Room Service'],['Day Use (4 Hours)']
Hanoi La Selva Hotel,hanoi,Vietnam,5,1508,['Spa'],['Deluxe Double Room with King Bed with Free Breakfast']
La Siesta Premium Hang Be,hanoi,Vietnam,5,2622,['Travel Assistance'],['Superior Room - No Window - Non-refundable']
Little Charm Hanoi Hostel,hanoi,Vietnam,5,732,['CCTV surveillance'],"['Superior Shared Dormitory, Mixed Dorm (6 Beds)']"
La Beaute De Hanoi Hotel,hanoi,Vietnam,5,1426,['Free Internet'],['Deluxe Room']
Hotel Amaryllis,kathmandu,Nepal,5,1424,['Business Services'],['Deluxe Double or Twin Room']
Hotel Friend's Home,kathmandu,Nepal,5,1203,['Free Internet'],['Double or Twin Room']
Lemon Tree Hotel,kathmandu,Nepal,4.1,975,['Indoor Entertainment'],"['City Apartment, 1 Double Bed, Non Smoking, City View']"
Norbulinka Boutique Hotel,kathmandu,Nepal,4.5,3168,['Laundry Service'],['Deluxe Twin with Breakfast']
Hotel Hikers Haven,kathmandu,Nepal,3.8,1054,['Outdoor Activities'],['Standard Double Room with Breakfast']
Hotel Osho Home Kathmandu,kathmandu,Nepal,5,951,['Power backup'],['Standard Double/Twin Room with Breakfast']
Hotel Thorong Peak,kathmandu,Nepal,4.5,1045,['Restaurant/Coffee Shop'],['Deluxe Double - Non Air Conditioned Room']
Hotel Encounter Nepal,kathmandu,Nepal,4.5,1748,['Room Service'],['Standard Twin with Free Breakfast']
Hotel Thamel Park,kathmandu,Nepal,4.5,2463,['Free Internet'],['Deluxe Room']
Park Village Resort,kathmandu,Nepal,4.5,2407,['Indoor Entertainment'],['Business Deluxe']
Radisson Blu Plaza Hotel Sydney,sydney,Australia,4.5,10422,['Air Conditioning'],['Superior Twin Room']
Ovolo Woolloomooloo Sydney,sydney,Australia,5,10440,['Airport Transfer (on Demand)'],['Superoo - Superior King Room']
Crowne Plaza Coogee Beach,sydney,Australia,4,8510,['Banquet hall'],['Two Double Village View Room']
Mercure Sydney,sydney,Australia,4,7682,['Business Services'],['Standard Room 1 Queen Bed']
PARKROYAL Parramatta,sydney,Australia,4,5159,['CCTV surveillance'],['Superior Room']
Quality Hotel CKS Sydney Airport,sydney,Australia,4,5310,['Conference Room'],['Superior Twin']
Best Western Plus Hotel Stellar,sydney,Australia,4,5814,['Dining'],['Studio 1 Queen Bed']
Primus Hotel Sydney,sydney,Australia,4.5,9251,['Free Internet'],['Deluxe Twin']
Sofitel Sydney Darling Harbour,sydney,Australia,4.5,11336,['Air Conditioning'],"['Superior Room, 1 King Bed']"
Holiday Inn Parramatta,sydney,Australia,4,5143,['Banquet hall'],['2 single bed 2 person']
The Old Woolstore Apartment Hotel,hobart,Australia,4,6840,['Air Conditioning'],['Standard Room']
Hotel Grand Chancellor Hobart,hobart,Australia,4.5,7256,['Banquet hall'],['Mountainside Room']
Comfort Hotel Foreshore,hobart,Australia,4,6017,['Business Services'],"['Room, 1 Queen Bed, Accessible, Non Smoking']"
Hadley's Orient Hotel Hobart,hobart,Australia,4.5,8642,['CCTV surveillance'],['Hotel Room with Free Breakfast']
